Strassenklasse,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
nicht klassifiziert,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1600,Bus,Gut
nicht klassifiziert,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1240,Auto,Gut
nicht klassifiziert,51,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,männlich,1450,Taxi,Regen
Bundesstrasse,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,2330,Auto,Regen
nicht klassifiziert,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1530,Auto,Gut
nicht klassifiziert,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,männlich,1745,Auto,Regen
Bundesstrasse,46,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,2100,Auto,Gut
nicht klassifiziert,23,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1700,Mottorrad (500cc),Gut
nicht klassifiziert,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,940,Taxi,Gut
Bundesstrasse,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,trocken,weiblich,1430,Auto,Gut
nicht klassifiziert,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1455,Auto,Gut
nicht klassifiziert,10,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1527,Fahrrad,Gut
Bundesstrasse,28,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1825,Auto,Gut
Bundesstrasse,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2250,Auto,Gut
Autobahn,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,männlich,740,Auto,Gut (starker Wind)
Autobahn,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,nass / feucht,männlich,908,Auto,Regen
nicht klassifiziert,85,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1120,Auto,Gut
Bundesstrasse,41,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,1,nass / feucht,männlich,2215,Auto,Regen
Bundesstrasse,38,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,2245,Mottorrad (500cc),Gut
nicht klassifiziert,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,männlich,1915,Fahrrad,Gut
Bundesstrasse,43,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,1200,Auto,Gut
nicht klassifiziert,16,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1115,Mottorrad (50cc),Gut
nicht klassifiziert,18,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,weiblich,320,Auto,Gut
nicht klassifiziert,18,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,weiblich,320,Auto,Gut
nicht klassifiziert,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1900,Auto,Gut
Bundesstrasse,28,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1610,Bus,Gut
nicht klassifiziert,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,735,Fahrrad,Gut
Landesstrasse,24,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,männlich,15,Auto,Regen
Bundesstrasse,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,1845,Auto,Gut
Bundesstrasse,56,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,männlich,2020,Auto,Regen
Bundesstrasse,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1950,Auto,Gut
nicht klassifiziert,36,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2010,Auto,Andere
Landesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1750,Fahrrad,Gut
nicht klassifiziert,67,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1325,Bus,Gut
nicht klassifiziert,9,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1915,Auto,Gut
nicht klassifiziert,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1320,Fahrrad,Gut
nicht klassifiziert,44,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,2205,Auto,Gut
nicht klassifiziert,43,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,728,Fahrrad,Gut
nicht klassifiziert,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,940,Auto,Gut
nicht klassifiziert,44,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1534,Mottorrad (500cc),Gut
Bundesstrasse,14,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1715,Auto,Gut
Landesstrasse,35,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1629,Auto,Gut
nicht klassifiziert,22,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,5,trocken,männlich,2333,Auto,Gut
nicht klassifiziert,17,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1720,Fahrrad,Gut
Bundesstrasse,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,525,Mottorrad,Regen
nicht klassifiziert,5,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1500,Auto,Gut
Bundesstrasse,19,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,2030,Auto,Gut
Landesstrasse,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,845,Auto,Gut
Bundesstrasse,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1610,Auto,Gut
Bundesstrasse,61,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,4,trocken,männlich,900,Auto,Gut
Bundesstrasse,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1605,Fahrrad,Gut
nicht klassifiziert,12,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1610,Fahrrad,Gut
Landesstrasse,18,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,2,trocken,weiblich,2015,Auto,Gut
Bundesstrasse,15,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1918,Auto,Gut
nicht klassifiziert,22,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,5,2,trocken,männlich,2110,Auto,Gut
nicht klassifiziert,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,5,nass / feucht,männlich,1800,Auto,Gut (starker Wind)
Bundesstrasse,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,2048,Auto,Gut
Landesstrasse,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1910,Auto,Gut
Bundesstrasse,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,nass / feucht,männlich,1050,Auto,Regen
nicht klassifiziert,48,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,2114,Taxi,Gut
Bundesstrasse,75,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1223,Transporter,Gut
Bundesstrasse,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,1255,Auto,Gut
nicht klassifiziert,22,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,345,Auto,Gut
nicht klassifiziert,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,nass / feucht,weiblich,933,Auto,Regen
Bundesstrasse,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,840,Auto,Gut
nicht klassifiziert,19,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,1,Schnee,männlich,2115,Taxi,Schnee
nicht klassifiziert,40,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1400,Bus,Gut
Landesstrasse,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1640,Auto,Gut
Bundesstrasse,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1135,Auto,Gut
Bundesstrasse,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1524,Auto,Gut
Kraftfahrzeugstrasse,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,955,Auto,Regen
nicht klassifiziert,56,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,30,Taxi,Gut
Bundesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,1940,Auto,Gut
Bundesstrasse,16,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1415,Fahrrad,Gut
Bundesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,1730,Auto,Gut
Autobahn,48,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,8,nass / feucht,männlich,1732,Transporter,Gut
Bundesstrasse,47,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,4,nass / feucht,weiblich,1325,Auto,Gut
Bundesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,1630,Auto,Regen
Bundesstrasse,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1600,Mottorrad,Gut
Bundesstrasse,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1515,Auto,Gut
nicht klassifiziert,13,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1940,Auto,Gut
Autobahn,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,820,Auto,Gut
Autobahn,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,3,nass / feucht,weiblich,1715,Auto,Regen
nicht klassifiziert,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,650,Auto,Gut
Landesstrasse,56,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1157,Auto,Gut
nicht klassifiziert,61,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,1930,Auto,Gut (starker Wind)
Bundesstrasse,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1620,Fahrrad,Gut
Autobahn,82,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1040,Auto,Gut
Kraftfahrzeugstrasse,55,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,weiblich,2020,Auto,Gut
nicht klassifiziert,22,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,1,trocken,weiblich,1810,Auto,Gut
nicht klassifiziert,81,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1040,Unbekannt,Gut
nicht klassifiziert,12,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,männlich,1539,Auto,Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,900,Fahrrad,Gut
nicht klassifiziert,8,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1855,Fahrrad,Gut
nicht klassifiziert,24,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1745,Bus,Gut
nicht klassifiziert,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,2030,Auto,Gut
nicht klassifiziert,26,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1600,Bus,Gut
nicht klassifiziert,19,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1400,Auto,Gut
Bundesstrasse,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,männlich,1730,Auto,Gut
nicht klassifiziert,67,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1705,Bus,Gut
Bundesstrasse,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1520,Auto,Gut
nicht klassifiziert,24,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,2145,Auto,Gut
Bundesstrasse,30,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1600,Auto,Gut
nicht klassifiziert,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,2135,Auto,Gut
Bundesstrasse,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,weiblich,1500,Auto,Schnee
Autobahn,47,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,1920,Mottorrad (500cc),Gut
nicht klassifiziert,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1530,Auto,Gut
Autobahn,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1705,Auto,Gut
nicht klassifiziert,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1853,Auto,Gut
Landesstrasse,47,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1507,Bus,Gut
Autobahn,66,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,5,nass / feucht,weiblich,1705,Auto,Gut
nicht klassifiziert,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,4,nass / feucht,männlich,2225,Auto,Gut
nicht klassifiziert,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,Frost / Eis,weiblich,928,Auto,Regen
Landesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,800,Auto,Gut
Autobahn,29,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,1,2,nass / feucht,männlich,2130,Auto,Regen
Bundesstrasse,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,3,nass / feucht,weiblich,725,Auto,Gut
Bundesstrasse,9,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,männlich,1542,Kleinbus,Gut
nicht klassifiziert,22,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,812,Mottorrad (50cc),Gut
nicht klassifiziert,35,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1610,Auto,Gut
Autobahn,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,2300,Auto,Regen
nicht klassifiziert,70,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1545,Bus,Gut
Bundesstrasse,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1033,Mottorrad (50cc),Gut
nicht klassifiziert,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1700,Mottorrad (50cc),Gut
Bundesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1325,Auto,Gut
nicht klassifiziert,56,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1805,Auto,Gut
nicht klassifiziert,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,815,Fahrrad,Gut (starker Wind)
Bundesstrasse,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1130,Fahrrad,Gut
Bundesstrasse,67,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1140,Bus,Gut
nicht klassifiziert,35,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1550,Auto,Gut
nicht klassifiziert,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1920,Auto,Gut
Bundesstrasse,16,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1650,Fahrrad,Gut
Autobahn,63,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1650,Auto,Gut
nicht klassifiziert,14,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,815,Auto,Gut
nicht klassifiziert,36,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1030,Auto,Gut
nicht klassifiziert,47,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,850,Auto,Gut
nicht klassifiziert,28,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,3,2,trocken,männlich,2117,Auto,Gut
nicht klassifiziert,68,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1315,Auto,Gut
nicht klassifiziert,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,nass / feucht,männlich,821,Taxi,Gut
nicht klassifiziert,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,950,Fahrrad,Gut
nicht klassifiziert,40,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,900,Fahrrad,Gut
nicht klassifiziert,33,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,nass / feucht,weiblich,1855,Auto,Andere
Kraftfahrzeugstrasse,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,2215,Auto,Gut
Autobahn,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,6,7,trocken,männlich,1701,Auto,Gut
Bundesstrasse,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,832,Auto,Regen
nicht klassifiziert,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,2125,Auto,Regen
Bundesstrasse,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1330,Auto,Gut
Kraftfahrzeugstrasse,56,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,weiblich,1958,Auto,Gut
Bundesstrasse,53,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,640,Auto,Gut
Bundesstrasse,34,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1830,Fahrrad,Gut
nicht klassifiziert,11,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1455,Auto,Gut
nicht klassifiziert,41,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,3,nass / feucht,männlich,2030,Taxi,Regen
nicht klassifiziert,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,1820,Auto,Gut
Bundesstrasse,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1020,Auto,Gut
Bundesstrasse,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,900,Fahrrad,Gut
Bundesstrasse,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,750,Fahrrad,Gut
Bundesstrasse,26,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,610,Mottorrad (50cc),Gut
nicht klassifiziert,6,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,1540,Auto,Gut
Autobahn,59,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1110,Auto,Gut
Bundesstrasse,44,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,9,2,trocken,weiblich,1430,Bus,Gut
nicht klassifiziert,6,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1305,Transporter,Gut
nicht klassifiziert,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1610,Auto,Gut
nicht klassifiziert,35,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1938,Auto,Gut (starker Wind)
nicht klassifiziert,17,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,5,1,nass / feucht,männlich,2143,Auto,Gut
Bundesstrasse,62,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1200,Auto,Gut
Bundesstrasse,76,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2234,Auto,Gut
nicht klassifiziert,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1321,Auto,Gut
Landesstrasse,14,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1735,Auto,Gut
nicht klassifiziert,59,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,1745,Auto,Gut
Bundesstrasse,42,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1620,Auto,Gut
Bundesstrasse,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1615,Auto,Gut
Bundesstrasse,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1445,Fahrrad,Gut
nicht klassifiziert,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,800,Auto,Gut
nicht klassifiziert,50,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,115,Auto,Gut
Landesstrasse,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,weiblich,845,Auto,Gut
Bundesstrasse,21,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,männlich,1715,Auto,Gut
Bundesstrasse,11,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,1900,Transporter,Gut
Bundesstrasse,21,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,2125,Auto,Gut
Bundesstrasse,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1035,Fahrrad,Gut
nicht klassifiziert,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1500,Fahrrad,Gut
Bundesstrasse,5,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1652,Bus,Gut
Bundesstrasse,41,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,2225,Auto,Gut
Bundesstrasse,30,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1715,Transporter,Gut
nicht klassifiziert,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1630,Fahrrad,Gut
nicht klassifiziert,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,15,Fahrrad,Gut
Bundesstrasse,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1410,Auto,Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1345,Auto,Gut
nicht klassifiziert,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1700,Fahrrad,Gut
nicht klassifiziert,14,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1630,Auto,Gut
Landesstrasse,23,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,4,2,trocken,weiblich,1750,Auto,Gut
nicht klassifiziert,20,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,2301,Auto,Regen
Bundesstrasse,68,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,Frost/ Ice,weiblich,1152,Auto,Gut
nicht klassifiziert,23,Passagier,3,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,männlich,1545,Auto,Gut
Bundesstrasse,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1300,Fahrrad,Regen
nicht klassifiziert,22,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,2130,Auto,Gut
Autobahn,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1650,Transporter,Gut
nicht klassifiziert,20,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,1705,Auto,Regen (starker Wind)
Bundesstrasse,7,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1845,Auto,Gut
nicht klassifiziert,64,Passagier,2,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,Frost/ Ice,männlich,645,Auto,Gut
